Hour,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11
0:00,0,0,0,0,0,0,0,0,0,0,0
1:00,0,0,0,0,0,0,0,0,0,0,0
2:00,0,0,0,0,0,0,0,0,0,0,0
3:00,0,0,0,0,0,0,0,0,0,0,0
4:00,0,0,0,0,0,0,0,0,0,0,0
5:00,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0,0,0
6:00,0.054,0.058,0.057,0.056,0.055,0.042,0.01,0.044,0.047,0.051,0.012
7:00,0.215,0.228,0.276,0.275,0.267,0.268,0.067,0.24,0.25,0.223,0.086
8:00,0.545,0.55,0.568,0.572,0.553,0.395,0.269,0.519,0.537,0.536,0.272
9:00,0.842,0.772,0.825,0.76,0.701,0.772,0.414,0.692,0.81,0.818,0.472
10:00,1.067,1.057,0.946,0.898,1.092,0.907,0.546,0.937,1.027,1.032,0.726
11:00,1.206,1.163,1.191,0.938,1.186,0.831,1.006,0.756,1.113,1.173,0.662
12:00,1.203,1.261,1.102,1.204,0.935,1.186,0.776,0.703,1.191,1.229,0.644
13:00,1.145,1.055,0.909,1.18,1.04,0.88,0.578,0.68,1.048,1.172,0.561
14:00,0.942,0.959,0.983,0.962,0.93,0.486,0.5,0.732,0.847,1.029,0.531
15:00,0.841,0.474,0.644,0.575,0.673,0.728,0.496,0.735,0.575,0.792,0.3
16:00,0.493,0.404,0.344,0.354,0.473,0.19,0.292,0.383,0.303,0.37,0.229
17:00,0.246,0.238,0.176,0.269,0.229,0.099,0.217,0.203,0.128,0.186,0.059
18:00,0.046,0.048,0.038,0.043,0.035,0.017,0.028,0.03,0.029,0.024,0.016
19:00,0,0,0,0,0,0,0,0,0,0,0
20:00,0,0,0,0,0,0,0,0,0,0,0
21:00,0,0,0,0,0,0,0,0,0,0,0
22:00,0,0,0,0,0,0,0,0,0,0,0
23:00,0,0,0,0,0,0,0,0,0,0,0
